Design Name,Size,Finish,Swing,Glass Type,SKU,Quantity,Serial Numbers,Customer Order
Altea Double Door,"32"" x 80""",Satin White,Right Inswing,Clear,ALT-32X80-SW-RI-CLR,1,26-0707-0172,ORD-1001 - Martinez Residence
Altea Double Door,"72"" x 80""",Matte Black,Left Inswing,Clear,ALT-72X80-MB-LI-CLR,2,26-0707-0173;26-0707-0174,
Cadiz Pivot Door,"42"" x 84""",Matte Black,Left Inswing,Clear,CAD-42X84-MB-LI-CLR,1,26-0707-0175,ORD-1002 - Downtown Lofts LLC
Cadiz Pivot Door,"48"" x 84""",Brushed Nickel,Left Inswing,Frosted,CAD-48X84-BN-LI-FRS,1,26-0707-0176,
Cordova Sliding Window,"32"" x 80""",Matte Black,Right Inswing,Frosted,COR-32X80-MB-RI-FRS,2,26-0707-0177;26-0707-0178,
Cordova Sliding Window,"48"" x 36""",Matte Black,Left Inswing,Clear,COR-48X36-MB-LI-CLR,1,26-0707-0179,ORD-1003 - Rivera Custom Homes
Granada Bi-fold Door,"36"" x 80""",Matte Black,Right Inswing,Clear,GRN-36X80-MB-RI-CLR,2,26-0707-0180;26-0707-0181,
Granada Bi-fold Door,"96"" x 80""",Matte Black,Left Inswing,Clear,GRN-96X80-MB-LI-CLR,1,26-0707-0182,
Malaga Single Door,"32"" x 80""",Brushed Nickel,Left Inswing,None,MAL-32X80-BN-LI-NON,1,26-0707-0183,ORD-1004 - Oakwood Development
Malaga Single Door,"36"" x 80""",Gunmetal,Left Inswing,None,MAL-36X80-GM-LI-NON,3,26-0707-0184;26-0707-0185;26-0707-0186,
Ronda Louvered Door,"32"" x 80""",Satin White,Right Inswing,None,RON-32X80-SW-RI-NON,1,26-0707-0187,
Ronda Louvered Door,"36"" x 80""",Matte Black,Left Inswing,None,RON-36X80-MB-LI-NON,2,26-0707-0188;26-0707-0189,
Sevilla French Door,"32"" x 80""",Brushed Nickel,Right Inswing,Rain,SEV-32X80-BN-RI-RN,1,26-0707-0190,ORD-1005 - Chen Architecture
Sevilla French Door,"36"" x 80""",Satin White,Left Inswing,None,SEV-36X80-SW-LI-NON,1,26-0707-0191,
Sevilla French Door,"72"" x 80""",Matte White,Left Inswing,Frosted,SEV-72X80-MW-LI-FRS,2,26-0707-0192;26-0707-0193,
Toledo Dutch Door,"36"" x 80""",Gunmetal,Right Inswing,Rain,TOL-36X80-GM-RI-RN,1,26-0707-0194,
Toledo Dutch Door,"36"" x 80""",Matte Black,Left Inswing,Clear,TOL-36X80-MB-LI-CLR,2,26-0707-0195;26-0707-0196,
Valencia Single Door,"32"" x 80""",Matte Black,Left Inswing,Clear,VAL-32X80-MB-LI-CLR,1,26-0707-0197,
Valencia Single Door,"36"" x 80""",Matte Black,Right Inswing,Clear,VAL-36X80-MB-RI-CLR,2,26-0707-0198;26-0707-0199,
Valencia Single Door,"36"" x 96""",Oil-Rubbed Bronze,Right Outswing,Frosted,VAL-36X96-ORB-RO-FRS,1,26-0707-0200,
